Task,Level,sessions,ACC,Subj.num
NBack,1,1,1,S034
NBack,1,2,1,S034
NBack,1,3,1,S034
NBack,2,4,1,S034
NBack,2,5,0.99,S034
NBack,2,6,1,S034
NBack,3,7,,S034
NBack,3,8,,S034
NBack,3,9,0.82,S034
NBack,3,10,0.78,S034
NBack,3,11,0.85,S034
NBack,4,12,0.94,S034
NBack,4,13,0.77,S034
NBack,4,14,0.9,S034
NBack,5,15,0.8,S034
NBack,5,16,0.81,S034
NBack,,17,,S034
Switching,1,1,0.91,S034
Switching,1,2,0.97,S034
Switching,1,3,1,S034
Switching,2,4,0.63,S034
Switching,2,5,0.71,S034
Switching,2,6,0.64,S034
Switching,2,7,,S034
Switching,2,8,0.7,S034
Switching,2,9,0.66,S034
Switching,2,10,0.74,S034
Switching,2,11,0.66,S034
Switching,2,12,0.7,S034
Switching,2,13,0.67,S034
Switching,2,14,0.54,S034
Switching,2,15,0.71,S034
Switching,2,16,0.69,S034
Inhibition,1,1,0.99,S034
Inhibition,1,2,0.99,S034
Inhibition,1,3,0.99,S034
Inhibition,2,4,0.96,S034
Inhibition,2,5,1,S034
Inhibition,2,6,1,S034
Inhibition,3,7,,S034
Inhibition,3,8,0.95,S034
Inhibition,3,9,0.98,S034
Inhibition,3,10,0.86,S034
Inhibition,4,11,0.98,S034
Inhibition,4,12,0.97,S034
Inhibition,4,13,0.99,S034
Inhibition,5,14,0.64,S034
Inhibition,5,15,0.88,S034
Inhibition,5,16,0.93,S034
NBack,1,1,1,S036
NBack,1,2,0.99,S036
NBack,1,3,1,S036
NBack,2,4,0.94,S036
NBack,2,5,0.96,S036
NBack,2,6,0.94,S036
NBack,3,7,0.57,S036
NBack,3,8,0.67,S036
NBack,3,9,0.64,S036
NBack,3,10,0.64,S036
NBack,3,11,0.77,S036
NBack,3,12,0.72,S036
NBack,3,13,0.79,S036
NBack,4,14,0.79,S036
NBack,4,15,0.78,S036
NBack,4,16,0.78,S036
NBack,,17,,S036
Switching,1,1,0.97,S036
Switching,1,2,1,S036
Switching,1,3,0.99,S036
Switching,2,4,0.7,S036
Switching,2,5,0.67,S036
Switching,2,6,0.77,S036
Switching,2,7,0.84,S036
Switching,3,8,,S036
Switching,3,9,0.77,S036
Switching,3,10,0.84,S036
Switching,3,11,0.85,S036
Switching,4,12,0.89,S036
Switching,4,13,0.87,S036
Switching,4,14,0.82,S036
Switching,5,15,0.75,S036
Switching,5,16,0.84,S036
Inhibition,1,1,0.96,S036
Inhibition,1,2,1,S036
Inhibition,1,3,0.99,S036
Inhibition,2,4,0.93,S036
Inhibition,2,5,0.99,S036
Inhibition,2,6,0.97,S036
Inhibition,3,7,0.86,S036
Inhibition,3,8,,S036
Inhibition,3,9,0.9,S036
Inhibition,3,10,0.97,S036
Inhibition,4,11,0.83,S036
Inhibition,4,12,0.81,S036
Inhibition,4,13,0.82,S036
Inhibition,5,14,0.65,S036
Inhibition,5,15,0.76,S036
Inhibition,5,16,0.75,S036
NBack,1,1,1,S038
NBack,1,2,1,S038
NBack,1,3,1,S038
NBack,2,4,0.99,S038
NBack,2,5,,S038
NBack,2,6,1,S038
NBack,3,7,0.86,S038
NBack,3,8,0.87,S038
NBack,3,9,0.82,S038
NBack,4,10,0.88,S038
NBack,4,11,0.87,S038
NBack,4,12,0.85,S038
NBack,5,13,0.86,S038
NBack,5,14,0.91,S038
NBack,5,15,,S038
NBack,5,16,0.86,S038
NBack,,17,,S038
Switching,1,1,0.99,S038
Switching,1,2,0.97,S038
Switching,1,3,1,S038
Switching,2,4,0.87,S038
Switching,2,5,0.83,S038
Switching,2,6,,S038
Switching,2,7,0.83,S038
Switching,3,8,0.93,S038
Switching,3,9,0.87,S038
Switching,3,10,0.96,S038
Switching,4,11,0.92,S038
Switching,4,12,0.91,S038
Switching,4,13,0.94,S038
Switching,5,14,0.85,S038
Switching,5,15,0.89,S038
Switching,5,16,0.88,S038
Inhibition,1,1,1,S038
Inhibition,1,2,1,S038
Inhibition,1,3,0.99,S038
Inhibition,2,4,1,S038
Inhibition,3,5,,S038
Inhibition,3,6,,S038
Inhibition,3,7,0.93,S038
Inhibition,3,8,0.99,S038
Inhibition,3,9,0.98,S038
Inhibition,4,10,0.99,S038
Inhibition,4,11,0.98,S038
Inhibition,4,12,0.97,S038
Inhibition,5,13,0.96,S038
Inhibition,5,14,0.96,S038
Inhibition,5,15,,S038
Inhibition,5,16,0.97,S038
NBack,1,1,1,S040
NBack,1,2,1,S040
NBack,1,3,1,S040
NBack,2,4,0.99,S040
NBack,2,5,0.99,S040
NBack,2,6,0.99,S040
NBack,3,7,0.87,S040
NBack,3,8,0.91,S040
NBack,3,9,0.96,S040
NBack,4,10,0.94,S040
NBack,4,11,0.9,S040
NBack,4,12,0.94,S040
NBack,5,13,0.9,S040
NBack,5,14,0.93,S040
NBack,5,15,0.9,S040
NBack,6,16,0.86,S040
NBack,,17,,S040
Switching,1,1,1,S040
Switching,1,2,0.99,S040
Switching,1,3,1,S040
Switching,2,4,0.74,S040
Switching,2,5,0.8,S040
Switching,2,6,0.79,S040
Switching,2,7,0.86,S040
Switching,2,8,0.87,S040
Switching,3,9,0.64,S040
Switching,3,10,0.77,S040
Switching,3,11,0.77,S040
Switching,3,12,0.83,S040
Switching,4,13,0.95,S040
Switching,4,14,0.96,S040
Switching,4,15,0.96,S040
Switching,5,16,0.78,S040
Inhibition,1,1,1,S040
Inhibition,1,2,1,S040
Inhibition,1,3,1,S040
Inhibition,2,4,0.99,S040
Inhibition,2,5,0.99,S040
Inhibition,2,6,1,S040
Inhibition,3,7,1,S040
Inhibition,3,8,1,S040
Inhibition,3,9,1,S040
Inhibition,4,10,0.99,S040
Inhibition,4,11,0.98,S040
Inhibition,4,12,0.98,S040
Inhibition,5,13,0.98,S040
Inhibition,5,14,0.98,S040
Inhibition,5,15,0.98,S040
Inhibition,6,16,0.45,S040
NBack,1,1,1,S042
NBack,1,2,1,S042
NBack,1,3,1,S042
NBack,2,4,0.97,S042
NBack,2,5,1,S042
NBack,2,6,1,S042
NBack,3,7,0.68,S042
NBack,3,8,,S042
NBack,3,9,0.77,S042
NBack,3,10,0.71,S042
NBack,3,11,0.78,S042
NBack,3,12,0.81,S042
NBack,3,13,0.86,S042
NBack,4,14,0.89,S042
NBack,4,15,0.94,S042
NBack,4,16,0.89,S042
NBack,,17,,S042
Switching,1,1,1,S042
Switching,1,2,1,S042
Switching,1,3,1,S042
Switching,2,4,0.84,S042
Switching,2,5,0.76,S042
Switching,2,6,0.83,S042
Switching,3,7,,S042
Switching,3,8,0.77,S042
Switching,3,9,0.8,S042
Switching,3,10,0.89,S042
Switching,4,11,0.87,S042
Switching,4,12,0.91,S042
Switching,4,13,0.94,S042
Switching,5,14,0.78,S042
Switching,5,15,0.85,S042
Switching,5,16,0.83,S042
Inhibition,1,1,0.96,S042
Inhibition,1,2,1,S042
Inhibition,1,3,1,S042
Inhibition,2,4,0.99,S042
Inhibition,2,5,1,S042
Inhibition,2,6,0.99,S042
Inhibition,3,7,1,S042
Inhibition,3,8,0.98,S042
Inhibition,3,9,0.99,S042
Inhibition,4,10,0.85,S042
Inhibition,4,11,0.9,S042
Inhibition,4,12,0.88,S042
Inhibition,5,13,0.63,S042
Inhibition,5,14,0.55,S042
Inhibition,5,15,0.68,S042
Inhibition,5,16,0.66,S042
NBack,1,1,1,S045
NBack,1,2,,S045
NBack,1,3,1,S045
NBack,2,4,0.93,S045
NBack,2,5,0.99,S045
NBack,2,6,1,S045
NBack,3,7,0.88,S045
NBack,3,8,0.86,S045
NBack,3,9,0.96,S045
NBack,4,10,,S045
NBack,4,11,0.96,S045
NBack,4,12,0.93,S045
NBack,4,13,0.92,S045
NBack,5,14,0.81,S045
NBack,5,15,0.88,S045
NBack,5,16,0.83,S045
NBack,,17,,S045
Switching,1,1,,S045
Switching,1,2,0.99,S045
Switching,1,3,0.99,S045
Switching,2,4,0.8,S045
Switching,2,5,0.83,S045
Switching,2,6,0.9,S045
Switching,2,7,0.81,S045
Switching,3,8,0.94,S045
Switching,3,9,,S045
Switching,3,10,0.91,S045
Switching,3,11,0.96,S045
Switching,4,12,0.91,S045
Switching,4,13,0.81,S045
Switching,4,14,0.95,S045
Switching,5,15,0.89,S045
Switching,5,16,0.93,S045
Inhibition,1,1,0.99,S045
Inhibition,1,2,1,S045
Inhibition,1,3,1,S045
Inhibition,2,4,0.97,S045
Inhibition,2,5,0.99,S045
Inhibition,2,6,0.97,S045
Inhibition,3,7,0.96,S045
Inhibition,3,8,0.98,S045
Inhibition,3,9,1,S045
Inhibition,4,10,0.97,S045
Inhibition,4,11,0.98,S045
Inhibition,4,12,0.98,S045
Inhibition,5,13,0.96,S045
Inhibition,5,14,0.96,S045
Inhibition,5,15,0.95,S045
Inhibition,6,16,0.54,S045
NBack,1,1,0.99,S046
NBack,1,2,0.99,S046
NBack,1,3,1,S046
NBack,2,4,0.99,S046
NBack,2,5,0.99,S046
NBack,2,6,1,S046
NBack,3,7,,S046
NBack,3,8,0.93,S046
NBack,3,9,0.96,S046
NBack,3,10,0.95,S046
NBack,3,11,0.99,S046
NBack,4,12,0.89,S046
NBack,4,13,0.9,S046
NBack,4,14,0.89,S046
NBack,5,15,0.88,S046
NBack,5,16,0.83,S046
NBack,,17,,S046
Switching,1,1,0.93,S046
Switching,1,2,0.99,S046
Switching,1,3,0.99,S046
Switching,2,4,0.76,S046
Switching,2,5,0.86,S046
Switching,2,6,0.89,S046
Switching,2,7,0.86,S046
Switching,3,8,0.9,S046
Switching,3,9,0.94,S046
Switching,3,10,0.93,S046
Switching,3,11,0.93,S046
Switching,4,12,0.87,S046
Switching,4,13,0.86,S046
Switching,4,14,0.87,S046
Switching,5,15,0.89,S046
Switching,5,16,0.91,S046
Inhibition,1,1,1,S046
Inhibition,1,2,1,S046
Inhibition,1,3,1,S046
Inhibition,2,4,1,S046
Inhibition,2,5,1,S046
Inhibition,2,6,1,S046
Inhibition,3,7,,S046
Inhibition,3,8,1,S046
Inhibition,3,9,0.99,S046
Inhibition,3,10,1,S046
Inhibition,4,11,0.97,S046
Inhibition,4,12,1,S046
Inhibition,4,13,0.98,S046
Inhibition,5,14,0.97,S046
Inhibition,5,15,0.96,S046
Inhibition,5,16,0.98,S046
NBack,1,1,0.99,S048
NBack,1,2,1,S048
NBack,1,3,1,S048
NBack,2,4,1,S048
NBack,2,5,1,S048
NBack,2,6,0.99,S048
NBack,3,7,0.72,S048
NBack,3,8,0.84,S048
NBack,3,9,0.96,S048
NBack,4,10,0.83,S048
NBack,4,11,0.89,S048
NBack,4,12,0.88,S048
NBack,5,13,0.88,S048
NBack,5,14,0.85,S048
NBack,5,15,0.82,S048
NBack,5,16,0.72,S048
NBack,,17,,S048
Switching,1,1,0.97,S048
Switching,1,2,1,S048
Switching,1,3,1,S048
Switching,2,4,0.77,S048
Switching,2,5,0.83,S048
Switching,2,6,0.81,S048
Switching,2,7,0.84,S048
Switching,3,8,0.9,S048
Switching,3,9,0.91,S048
Switching,3,10,0.9,S048
Switching,4,11,0.9,S048
Switching,4,12,0.87,S048
Switching,4,13,0.87,S048
Switching,5,14,0.81,S048
Switching,5,15,0.87,S048
Switching,5,16,0.8,S048
Inhibition,1,1,1,S048
Inhibition,1,2,1,S048
Inhibition,1,3,1,S048
Inhibition,2,4,0.99,S048
Inhibition,2,5,0.97,S048
Inhibition,2,6,1,S048
Inhibition,3,7,0.94,S048
Inhibition,3,8,1,S048
Inhibition,3,9,0.99,S048
Inhibition,4,10,0.94,S048
Inhibition,4,11,0.91,S048
Inhibition,4,12,0.95,S048
Inhibition,5,13,0.95,S048
Inhibition,5,14,0.95,S048
Inhibition,5,15,0.98,S048
Inhibition,6,16,0.63,S048
NBack,1,1,0.98,S025
NBack,1,2,1,S025
NBack,1,3,0.97,S025
NBack,2,4,1,S025
NBack,2,5,0.99,S025
NBack,2,6,0.96,S025
NBack,3,7,0.69,S025
NBack,3,8,0.65,S025
NBack,3,9,0.66,S025
NBack,3,10,0.82,S025
NBack,3,11,0.79,S025
NBack,3,12,0.74,S025
NBack,3,13,0.76,S025
NBack,3,14,0.85,S025
NBack,3,15,0.83,S025
NBack,4,16,0.78,S025
NBack,4,17,0.85,S025
Switching,1,1,0.99,S025
Switching,1,2,0.93,S025
Switching,2,3,0.6,S025
Switching,2,4,0.66,S025
Switching,2,5,0.87,S025
Switching,2,6,0.8,S025
Switching,3,7,0.64,S025
Switching,3,8,0.71,S025
Switching,3,9,0.89,S025
Switching,3,10,0.84,S025
Switching,3,11,0.89,S025
Switching,4,12,0.82,S025
Switching,4,13,0.89,S025
Switching,4,14,0.94,S025
Switching,5,15,0.77,S025
Switching,5,16,0.74,S025
Inhibition,1,1,0.99,S025
Inhibition,1,2,1,S025
Inhibition,2,3,0.99,S025
Inhibition,2,4,1,S025
Inhibition,3,5,0.89,S025
Inhibition,3,6,0.97,S025
Inhibition,3,7,0.95,S025
Inhibition,4,8,0.91,S025
Inhibition,4,9,0.94,S025
Inhibition,4,10,0.93,S025
Inhibition,5,11,0.83,S025
Inhibition,5,12,0.87,S025
Inhibition,5,13,0.84,S025
Inhibition,6,14,0.38,S025
Inhibition,6,15,0.38,S025
Inhibition,,16,,S025
NBack,1,1,1,S026
NBack,1,2,1,S026
NBack,1,3,0.96,S026
NBack,2,4,1,S026
NBack,2,5,0.97,S026
NBack,2,6,0.93,S026
NBack,3,7,0.79,S026
NBack,3,8,0.77,S026
NBack,3,9,0.78,S026
NBack,3,10,0.85,S026
NBack,3,11,0.87,S026
NBack,4,12,0.83,S026
NBack,4,13,0.84,S026
NBack,4,14,0.86,S026
NBack,4,15,0.94,S026
NBack,5,16,0.85,S026
NBack,5,17,0.77,S026
Switching,1,1,1,S026
Switching,1,2,1,S026
Switching,2,3,0.8,S026
Switching,2,4,0.81,S026
Switching,2,5,0.87,S026
Switching,2,6,0.86,S026
Switching,3,7,0.91,S026
Switching,3,8,0.94,S026
Switching,3,9,0.97,S026
Switching,3,10,0.96,S026
Switching,3,11,0.98,S026
Switching,4,12,0.99,S026
Switching,4,13,0.94,S026
Switching,4,14,0.99,S026
Switching,5,15,0.96,S026
Switching,5,16,0.8,S026
Inhibition,1,1,0.99,S026
Inhibition,1,2,1,S026
Inhibition,2,3,0.97,S026
Inhibition,2,4,0.99,S026
Inhibition,3,5,0.99,S026
Inhibition,3,6,0.99,S026
Inhibition,3,7,0.99,S026
Inhibition,4,8,0.88,S026
Inhibition,4,9,0.95,S026
Inhibition,4,10,0.98,S026
Inhibition,5,11,0.86,S026
Inhibition,5,12,0.85,S026
Inhibition,5,13,0.94,S026
Inhibition,6,14,0.58,S026
Inhibition,6,15,0.59,S026
Inhibition,,16,,S026
NBack,1,1,1,S028
NBack,1,2,1,S028
NBack,1,3,0.97,S028
NBack,2,4,1,S028
NBack,2,5,0.99,S028
NBack,2,6,0.93,S028
NBack,3,7,0.72,S028
NBack,3,8,0.91,S028
NBack,3,9,0.83,S028
NBack,3,10,0.9,S028
NBack,3,11,0.8,S028
NBack,4,12,,S028
NBack,4,13,0.89,S028
NBack,4,14,0.88,S028
NBack,4,15,0.84,S028
NBack,5,16,0.95,S028
NBack,5,17,0.93,S028
Switching,1,1,1,S028
Switching,1,2,1,S028
Switching,2,3,0.81,S028
Switching,2,4,0.83,S028
Switching,2,5,0.79,S028
Switching,2,6,0.8,S028
Switching,3,7,0.87,S028
Switching,3,8,0.96,S028
Switching,3,9,0.92,S028
Switching,3,10,0.95,S028
Switching,4,11,0.91,S028
Switching,4,12,0.97,S028
Switching,4,13,0.95,S028
Switching,5,14,0.91,S028
Switching,5,15,0.91,S028
Switching,5,16,0.89,S028
Inhibition,1,1,1,S028
Inhibition,1,2,1,S028
Inhibition,2,3,0.96,S028
Inhibition,2,4,1,S028
Inhibition,3,5,0.98,S028
Inhibition,3,6,0.97,S028
Inhibition,3,7,0.99,S028
Inhibition,4,8,0.88,S028
Inhibition,4,9,0.97,S028
Inhibition,4,10,,S028
Inhibition,5,11,0.93,S028
Inhibition,5,12,0.96,S028
Inhibition,5,13,0.96,S028
Inhibition,6,14,0.82,S028
Inhibition,6,15,0.84,S028
Inhibition,,16,,S028
NBack,1,1,1,S030
NBack,1,2,1,S030
NBack,1,3,0.96,S030
NBack,2,4,0.92,S030
NBack,2,5,0.91,S030
NBack,2,6,0.96,S030
NBack,3,7,0.62,S030
NBack,3,8,0.74,S030
NBack,3,9,0.69,S030
NBack,3,10,0.8,S030
NBack,3,11,0.71,S030
NBack,3,12,0.68,S030
NBack,3,13,0.63,S030
NBack,3,14,0.63,S030
NBack,3,15,0.68,S030
NBack,3,16,0.68,S030
NBack,3,17,0.73,S030
Switching,1,1,0.97,S030
Switching,1,2,0.97,S030
Switching,2,3,0.53,S030
Switching,2,4,0.69,S030
Switching,2,5,0.7,S030
Switching,2,6,0.69,S030
Switching,2,7,0.64,S030
Switching,2,8,0.71,S030
Switching,2,9,0.84,S030
Switching,2,10,0.74,S030
Switching,2,11,0.91,S030
Switching,3,12,0.86,S030
Switching,3,13,0.93,S030
Switching,3,14,0.93,S030
Switching,4,15,0.93,S030
Switching,4,16,0.91,S030
Inhibition,1,1,0.99,S030
Inhibition,1,2,1,S030
Inhibition,2,3,1,S030
Inhibition,2,4,0.99,S030
Inhibition,3,5,0.99,S030
Inhibition,3,6,0.97,S030
