,session1,session2,session3,session4,session5,session6,session7,session8,session9,session10,session11,session12,session13,session14,session15,session16,session17,session18,session19,session20,session21,session22,session23,session24
出席,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,
,,,,,,,,,,,,,,,,,,,,,,,,
switching_1_1,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_2,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_3,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_4,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_5,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_總分,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_2_1,,,,,50%,50%,,80%,,,90%,80%,,,,,,,,,,,,
switching_2_2,,,,,40%,50%,,50%,,,60%,90%,,,,,,,,,,,,
switching_2_3,,,,,80%,80%,,90%,,,90%,100%,,,,,,,,,,,,
switching_2_4,,,,,85%,90%,,85%,,,85%,95%,,,,,,,,,,,,
switching_2_5,,,,,85%,95%,,85%,,,95%,80%,,,,,,,,,,,,
switching_2_總分,,,,,70%,79%,,80%,,,86%,89%,,,,,,,,,,,,
switching_3_1,,,,,,,,,,,,,,90%,90%,,90%,,,,,,,
switching_3_2,,,,,,,,,,,,,,100%,100%,,100%,,,,,,,
switching_3_3,,,,,,,,,,,,,,100%,100%,,100%,,,,,,,
switching_3_4,,,,,,,,,,,,,,100%,100%,,100%,,,,,,,
switching_3_5,,,,,,,,,,,,,,80%,85%,,95%,,,,,,,
switching_3_總分,,,,,,,,,,,,,,93%,95%,,97%,,,,,,,
switching_4_1,,,,,,,,,,,,,,,,,,80%,,60%,80%,,,
switching_4_2,,,,,,,,,,,,,,,,,,100%,,100%,100%,,,
switching_4_3,,,,,,,,,,,,,,,,,,90%,,100%,100%,,,
switching_4_4,,,,,,,,,,,,,,,,,,75%,,85%,95%,,,
switching_4_5,,,,,,,,,,,,,,,,,,92%,,90%,92%,,,
switching_4_總分,,,,,,,,,,,,,,,,,,88%,,88%,93%,,,
switching_5_1,,,,,,,,,,,,,,,,,,,,,,,70%,
switching_5_2,,,,,,,,,,,,,,,,,,,,,,,70%,
switching_5_3,,,,,,,,,,,,,,,,,,,,,,,80%,
switching_5_4,,,,,,,,,,,,,,,,,,,,,,,90%,
switching_5_5,,,,,,,,,,,,,,,,,,,,,,,94%,
switching_5_總分,,,,,,,,,,,,,,,,,,,,,,,88%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
inhibtion_1_1,N,,100%,90%,100%,,,,,,,,,,,,,,,,,,,
inhibtion_1_2,N,,100%,100%,100%,,,,,,,,,,,,,,,,,,,
inhibtion_1_3,N,,100%,100%,100%,,,,,,,,,,,,,,,,,,,
inhibtion_1_4,N,,100%,100%,100%,,,,,,,,,,,,,,,,,,,
inhibtion_1_5,N,,100%,95%,100%,,,,,,,,,,,,,,,,,,,
inhibtion_1_總分,N,,100%,97%,100%,,,,,,,,,,,,,,,,,,,
inhibition_2_1,,,,,,,100%,,100%,100%,,,,,,,,,,,,,,
inhibition_2_2,,,,,,,100%,,100%,100%,,,,,,,,,,,,,,
inhibition_2_3,,,,,,,100%,,100%,100%,,,,,,,,,,,,,,
inhibition_2_4,,,,,,,100%,,100%,100%,,,,,,,,,,,,,,
inhibition_2_5,,,,,,,95%,,100%,100%,,,,,,,,,,,,,,
